FAMILIA,OBJETO_ALCANCE,APLICA_PMA_PSM,NUM_FICHAS,FICHAS_APLICAN,AS-1,AS-2,AS-3,AS-4,AS-5,AS-6,AS-6C,AS-7,AS-8,AS-9,AS-10,ARH-1,ARH-2,ARH-2C,ARH-3,ARH-4,ARH-5,ARA-1,ACA-1,ACA-2,BS-1,BS-2,BS-3,BS-4,BPCH-1,BRAI-1,BH-1,BCEVF-1,BC-1,GS-1,GS-2,GS-3,GS-4,GS-5,GS-6,GS-7,GS-7C,ASM-1,ASM-2,ASM-3,ASM-4,ASM-5,BSM-1,BSM-2,BSM-3,SSM-1
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO A SISTEMAS DE MEDICIÓN EMERSON PROCESS,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE COMPUTADORES DE FLUJO OMNI,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE PROBADORES BIDIRECCIONALES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE TOMA MUESTRAS,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE TELEMETRÍA DE TANQUES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO PATRONES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE SISTEMAS DE CONTROL ABB,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO A SISTEMAS DE CONTROL ALLEN BRADLEY,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",SERVICIO DE SUSCRIPCIÓN DE SOPORTE DE LICENCIAMIENTO SENTINEL PARA SISTEMAS DE CONTROL ABB DE ODL Y BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA PLATAFORMA SCADA ODL,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",SERVICIOS DE ACTUALIZACIÓN DE SISTEMAS DE CONTROL ABB 800XA DE LAS ESTACIONES DE ODL Y BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",SERVICIOS DE DIAGNÓSTICO Y GERENCIAMIENTO DE ALARMAS PARA SISTEMAS DE CONTROL EBR Y ER2,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE COMPUTADORES DE FLUJO OMNI,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Campañas asociadas al plan estratégico de seguridad vial (PESV) de ODL/BIC.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,"Diseñar e implementar capacitación virtual para la sensibilización, entrenamiento y certificación de los técnicos eléctricos de las estaciones y línea en Sistemas de aislamiento eléctricos seguros para ODL y BIC.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Talleres de capacitación certificados y entrenamiento en el conocimiento de las serpientes y fauna venenosa peligrosa; y asistencia en prevención del incidente con fauna peligrosa,True,4,"['BS-3', 'BPCH-1', 'GS-5', 'BSM-1']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Capacitación,Capacitación para la toma de alcoholimetrias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Servicio de certificación de brigadas industriales,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Campañas asociadas al plan estratégico de seguridad vial (PESV) de ODL/BIC.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,"Diseñar e implementar capacitación virtual para la sensibilización, entrenamiento y certificación de los técnicos eléctricos de las estaciones y línea en Sistemas de aislamiento eléctricos seguros para ODL y BIC.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Servicio de certificación de brigadas industriales de Bicentenario,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación","Acuerdo de precios para el suministro de señalización industrial, derivado de AMP entre ODL y el Consejo Colombiano de Seguridad (CCS).",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Suministro de consumibles adicionales para atención de emergencias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compras Lubricantes y combustibles,Compra de Reductor de Fricción,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compras Lubricantes y combustibles,Compra de Destilado Residual / Crudo,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"SERVICIO DE DISEÑO DE PIEZAS DE COMUNICACIÓN, HOSTING, Y MANTENIMIENTO DE PORTALES WEB E INTRANET PARA OLEODUCTO DE LOS LLANOS ORIENTALES Y OLEODUCTO BICENTENARIO",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,Prestar los servicios para el diseño y producción de piezas de comunicación.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"Prestar el servicio para la publicación de avisos de prensa, en medios de comunicación de circulación nacional y regional.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
