FAMILIA,OBJETO_ALCANCE,APLICA_PMA_PSM,NUM_FICHAS,FICHAS_APLICAN,PMOOR-1,PMOOR-2,AS-1,AS-2,AS-3,AS-4,AS-5,AS-6,AS-7,AS-8: PMCOR-2,AS-9,AS-10: PMCOR-18,AS-11: PMAAH-5,ARH-1,ARH-2,ARA-1,ARA-2,ACA-1,ACA-2,BS-1,BS-2,BS-3,BPCH-1,BRAI-1,BH-1,BCEVF-1,BC-1,BC-2,BC-3,GS-1,GS-2,GS-3,GS-4,GS-5,GS-6,PGSO1-8,PSMA-1,ASM-1,ASM-2,ASM-3,ASM-4,ASM-5,ASM-6,PM-1,BSM-1,BSM-2,BSM-3,SSM-1,SSM-2,SSM-3,SSM-4
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO A SISTEMAS DE MEDICIÓN EMERSON PROCESS,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE COMPUTADORES DE FLUJO OMNI,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición","MANTENIMIENTO ESPECIALIZADO A PROBADORES COMPACTOS PARA RUBIALES, MONTERREY Y CUSIANA",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE PROBADORES BIDIRECCIONALES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE TOMA MUESTRAS,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE TELEMETRÍA DE TANQUES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO PATRONES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE SISTEMAS DE CONTROL ABB,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO A SISTEMAS DE CONTROL ALLEN BRADLEY,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",SERVICIOS DE CONFIGURACIÓN PARA MIGRACIÓN DE DESPLIEGUES SISTEMA DE CONTROL ABB ESTACIÓN RUBIALES,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
